iter	Passed	Remaining
0	19	57109
1	32	48975
2	46	46071
3	59	44582
4	72	43548
5	86	43245
6	101	43197
7	113	42555
8	127	42536
9	142	42617
10	155	42128
11	169	42205
12	182	42016
13	196	41825
14	209	41764
15	224	41910
16	238	41862
17	252	41887
18	266	41851
19	279	41699
20	294	41805
21	308	41785
22	322	41776
23	337	41791
24	351	41885
25	370	42363
26	387	42694
27	403	42816
28	418	42887
29	433	42875
30	447	42847
31	461	42773
32	474	42676
33	488	42619
34	501	42504
35	516	42548
36	531	42531
37	544	42478
38	561	42597
39	574	42518
40	588	42463
41	602	42435
42	617	42443
43	631	42432
44	645	42385
45	659	42344
46	672	42248
47	686	42243
48	701	42241
49	715	42217
50	728	42122
51	742	42104
52	755	42023
53	770	42052
54	785	42033
55	800	42069
56	815	42100
57	830	42111
58	844	42083
59	857	42035
60	871	41989
61	885	41946
62	898	41902
63	912	41852
64	927	41893
65	941	41859
66	956	41859
67	969	41806
68	982	41732
69	996	41715
70	1011	41710
71	1028	41805
72	1043	41841
73	1058	41835
74	1071	41780
75	1086	41789
76	1101	41830
77	1115	41803
78	1130	41784
79	1143	41746
80	1157	41727
81	1171	41690
82	1186	41698
83	1200	41662
84	1216	41729
85	1230	41693
86	1244	41683
87	1258	41650
88	1272	41628
89	1289	41699
90	1324	42344
91	1365	43153
92	1393	43543
93	1415	43761
94	1434	43855
95	1455	44023
96	1474	44125
97	1491	44178
98	1507	44178
99	1523	44191
100	1539	44200
101	1555	44201
102	1570	44175
103	1585	44150
104	1600	44137
105	1615	44097
106	1629	44069
107	1643	44011
108	1658	43981
109	1674	43998
110	1688	43948
111	1702	43899
112	1716	43843
113	1730	43806
114	1744	43751
115	1759	43735
116	1774	43719
117	1788	43693
118	1804	43683
119	1818	43633
120	1831	43589
121	1846	43564
122	1861	43538
123	1876	43525
124	1891	43493
125	1905	43452
126	1919	43415
127	1933	43374
128	1949	43392
129	1963	43346
130	1979	43348
131	1995	43361
132	2010	43342
133	2025	43327
134	2041	43315
135	2058	43344
136	2072	43307
137	2085	43255
138	2099	43208
139	2114	43192
140	2127	43145
141	2141	43110
142	2155	43072
