iter	Logloss
0	0.6454734464
1	0.596625154
2	0.5636711775
3	0.52997804
4	0.5012051337
5	0.4681741605
6	0.4443430643
7	0.4060645571
8	0.3911223174
9	0.3656349561
10	0.3457268549
11	0.3279574287
12	0.3132762799
13	0.3039224559
14	0.2934658153
15	0.2804907395
16	0.271193504
17	0.261516903
18	0.2462156308
19	0.2365729993
20	0.226246992
21	0.2183797676
22	0.2080395437
23	0.2002821713
24	0.1924108505
25	0.1839475495
26	0.1771667607
27	0.1710210103
28	0.1664451482
29	0.1612721096
30	0.1550068439
31	0.1489649553
32	0.1449699713
33	0.1383290379
34	0.1355768116
35	0.1306081882
36	0.1275308514
37	0.1259488133
38	0.1216515548
39	0.1190360878
40	0.1162419357
41	0.113027219
42	0.1112581676
43	0.1073159966
44	0.1044822483
45	0.102498957
46	0.1007654869
47	0.098217397
48	0.09511556593
49	0.09209828918
50	0.08978956267
51	0.08753823852
52	0.08603519211
53	0.08434149386
54	0.08256356095
55	0.08073018021
56	0.07954907206
57	0.07826309023
58	0.07699421942
59	0.07606306378
60	0.07435132818
61	0.0732185102
62	0.07159492808
63	0.07021153461
64	0.06871297559
65	0.06774576982
66	0.06714636816
67	0.06604597345
68	0.06508682387
69	0.06431377009
70	0.06352206727
71	0.06251693501
72	0.06159901099
73	0.06101090181
74	0.0602785188
75	0.05924395818
76	0.05839270153
77	0.0580192105
78	0.05732580905
79	0.05666266016
80	0.05559175073
81	0.05454696649
82	0.05371277929
83	0.05315421493
84	0.05238664625
85	0.05183288458
86	0.05082426844
87	0.04992003858
88	0.04915843165
89	0.04877084403
90	0.04843468071
91	0.04773345523
92	0.04696370231
93	0.04617140411
94	0.04571851082
95	0.04492710155
96	0.04429308147
97	0.04392743983
98	0.04314647244
99	0.04257616165
100	0.04214216305
101	0.04173719834
102	0.04139550725
103	0.04087754773
104	0.04038012026
105	0.04001457452
106	0.03953373205
107	0.03919061232
108	0.03878426836
109	0.03828122585
110	0.03753364206
111	0.03716647455
112	0.03675742829
113	0.03636449893
114	0.03601372217
115	0.03544985422
116	0.03522650575
117	0.03472349994
118	0.0343418536
119	0.03416904423
120	0.03387446659
121	0.03337774049
122	0.03288543889
123	0.03258369686
124	0.03223959209
125	0.03203370314
126	0.03168882618
127	0.03130483716
128	0.03097731299
129	0.03072284492
130	0.03034404489
131	0.03001698591
132	0.0298748266
133	0.02960787479
134	0.02935231926
135	0.02898750015
136	0.02876090188
137	0.02852378449
138	0.02836501432
139	0.02814302207
140	0.02779141034
141	0.02734121672
142	0.02711741245
