KMeans_Cluster,BALANCE,PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,PURCHASE_TO_LIMIT_RATIO,CASH_ADVANCE_RATIO,PAYMENT_TO_BALANCE_RATIO
0,1165.719,149.624,692.045,2994.55,755.526,0.035,0.139,0.174,0.068,0.316,13.489
1,534.94,782.197,89.313,3616.289,871.219,0.276,0.773,0.026,0.322,0.039,15.242
