feature,importance
V4,158
V_norm,149
V3,127
Vnorm_x_V4,120
V13,106
V11,101
Vnorm_x_V14,96
V14,93
V12,91
Amt_x_V17,80
Time,79
V24,78
V23,77
V25,75
V8,75
V1,74
V2,68
Amt_x_V11,68
V10,66
Amt_x_V4,62
V18,61
V15,57
V17,57
Amt_x_V3,56
Amt_x_V12,56
V6,56
V20,53
V16,52
V22,52
Amt_x_V14,52
V19,51
V21,50
V7,49
V26,48
Amt_x_V1,46
V27,45
Amt_x_V9,45
V9,44
V5,44
Amount,39
Hour,37
V28,30
Amt_x_V10,27
