iter	Passed	Remaining
0	145	725781
1	285	713514
2	426	710012
3	563	703516
4	701	700515
5	840	699947
6	971	692702
7	1106	690635
8	1253	695078
9	1421	709238
10	1594	723402
11	1739	722850
12	1873	718612
13	2021	719773
14	2152	715469
15	2277	709430
16	2414	707712
17	2542	703600
18	2684	703635
19	2824	703243
20	2956	700944
21	3095	700534
22	3228	698629
23	3376	700161
24	3524	701340
25	3656	699551
26	3800	699958
27	3943	700306
28	4068	697343
29	4202	696254
30	4337	695251
31	4479	695503
32	4609	693819
33	4758	695075
34	4918	697697
35	5084	701073
36	5241	703067
37	5387	703440
38	5522	702472
39	5678	704154
40	5826	704690
41	5984	706465
42	6123	705890
43	6257	704837
44	6393	704036
45	6531	703392
46	6656	701445
47	6782	699697
48	6924	699670
49	7068	699772
50	7196	698332
51	7314	695964
52	7444	694897
53	7571	693522
54	7692	691587
55	7809	689492
56	7938	688383
57	8063	687041
58	8183	685302
59	8304	683713
60	8424	682090
61	8545	680571
62	8675	679848
63	8795	678360
64	8922	677453
65	9038	675711
66	9155	674090
67	9271	672477
68	9390	671099
69	9511	669916
70	9642	669432
71	9759	668009
72	9879	666816
73	9996	665422
74	10117	664379
75	10238	663353
76	10357	662194
77	10475	661047
78	10593	659874
79	10714	658957
80	10831	657801
81	10953	656925
82	11069	655766
83	11184	654552
84	11303	653586
85	11422	652654
86	11551	652318
87	11693	652710
88	11820	652254
89	11956	652271
90	12081	651720
91	12211	651432
92	12336	650935
93	12454	650041
94	12580	649555
95	12701	648812
96	12827	648404
97	12960	648290
98	13088	647933
99	13212	647390
100	13333	646736
101	13466	646672
102	13593	646299
103	13718	645820
104	13867	646504
105	13993	646090
106	14115	645478
107	14240	645049
108	14360	644365
109	14468	643200
110	14581	642238
111	14698	641474
112	14814	640707
113	14938	640240
114	15060	639761
115	15180	639131
116	15301	638617
117	15423	638121
118	15546	637648
119	15659	636831
120	15777	636167
121	15896	635614
122	16008	634724
123	16118	633829
124	16233	633098
125	16341	632120
126	16447	631075
127	16556	630168
128	16667	629372
129	16783	628746
130	16914	628661
131	17036	628290
132	17160	627983
133	17281	627536
134	17411	627443
135	17531	627006
136	17659	626850
137	17789	626773
138	17923	626805
139	18048	626555
140	18160	625819
141	18272	625132
142	18401	625012
143	18529	624842
144	18649	624448
145	18768	623996
146	18887	623560
147	18998	622836
148	19115	622351
149	19228	621712
150	19343	621162
151	19453	620468
152	19563	619781
153	19674	619117
154	19784	618434
155	19904	618064
156	20019	617542
157	20136	617094
158	20247	616470
159	20356	615791
160	20466	615137
161	20577	614517
162	20687	613907
163	20802	613426
164	20919	613009
165	21038	612645
166	21161	612416
167	21276	611964
168	21394	611586
169	21510	611160
170	21630	610845
171	21746	610416
172	21892	610839
173	22015	610626
174	22133	610255
175	22244	609703
176	22359	609272
177	22471	608760
178	22583	608231
179	22691	607633
180	22804	607161
181	22923	606842
182	23043	606572
183	23161	606216
184	23287	606111
185	23402	605693
186	23518	605311
187	23638	605051
188	23751	604604
189	23881	604573
190	24004	604397
191	24124	604106
192	24240	603740
193	24352	603284
194	24468	602926
195	24587	602653
196	24700	602208
197	24816	601870
198	24939	601685
199	25061	601476
200	25179	601164
201	25297	600889
202	25416	600613
203	25532	600274
204	25650	599974
205	25763	599553
206	25890	599486
207	26013	599300
208	26129	598980
209	26240	598541
210	26353	598137
211	26466	597751
212	26586	597517
213	26703	597218
214	26819	596886
215	26939	596668
