feature,importance
V10,4333
V16,4267
V_norm,4071
V26,3994
V15,3944
Time,3875
V4,3823
V12,3732
V18,3724
Vnorm_x_V4,3567
V14,3551
V27,3521
V28,3476
V9,3408
V21,3388
V19,3350
V2,3151
V11,3141
V13,3129
V6,3040
V1,3036
V25,3006
Vnorm_x_V14,2952
V17,2881
Amt_x_V12,2880
V24,2859
V7,2840
V22,2815
Amt_x_V11,2776
Amt_x_V17,2764
V8,2738
V3,2736
Vnorm_x_V12,2707
Amt_x_V14,2664
Amt_x_V9,2610
Amt_x_V4,2609
V5,2581
V20,2562
Amt_x_V8,2513
Amt_x_V13,2503
Vnorm_x_V13,2483
Amt_x_V1,2457
Vnorm_x_V11,2424
Vnorm_x_V3,2358
Amount,2154
V23,2124
Amt_x_V24,2040
Amt_x_V23,2001
Amt_x_V3,1980
