feature,importance
V4,164
V14,129
V3,125
V1,117
V_norm,116
V11,112
V12,100
V10,99
V9,88
V17,87
Amt_x_V12,87
V7,87
V19,83
V8,77
V27,76
V16,75
V5,75
V28,71
V18,70
V26,70
Amt_x_V17,69
Amt_x_V14,69
V13,68
V20,62
V22,62
Time,58
Amount,58
V21,57
Hour,55
V23,53
V6,51
V15,50
V25,50
Amt_x_V10,47
V2,46
V24,40
Log_Amount,26
Time_sin,17
