iter	Passed	Remaining
0	535	2675554
1	1085	2711936
2	1630	2715284
3	2219	2772497
4	2752	2750067
5	3310	2755191
6	3867	2758297
7	4420	2758227
8	4952	2746301
9	5521	2755329
10	6087	2760755
11	6676	2775031
12	7236	2776133
13	7781	2771401
14	8369	2781361
15	8923	2779695
16	9504	2785796
17	10071	2787526
18	10655	2793383
19	11227	2795709
20	11782	2793548
21	12352	2794982
22	12910	2793680
23	13469	2792689
24	14042	2794403
25	14698	2811853
26	15261	2810894
27	15827	2810486
28	16387	2809004
29	16922	2803573
30	17485	2802780
31	18048	2802068
32	18595	2798859
33	19143	2796078
34	19694	2793870
35	20252	2792531
36	20808	2791101
37	21344	2787193
38	21920	2788453
39	22475	2787017
40	23055	2788532
41	23555	2780614
42	24142	2783108
43	24767	2789696
44	25283	2784009
45	25814	2780150
46	26377	2779742
47	26892	2774393
48	27422	2770749
49	27948	2766909
50	28504	2766042
51	29027	2762114
52	29536	2756948
53	30053	2752694
54	30564	2748046
55	31081	2744037
56	31599	2740303
57	32113	2736307
58	32612	2731180
59	33117	2726699
60	33633	2723191
61	34137	2718919
62	34643	2714811
63	35158	2711631
64	35646	2706429
65	36160	2703249
66	36653	2698698
67	37169	2695914
68	37685	2693180
69	38173	2688502
70	38657	2683679
71	39163	2680524
72	39641	2675532
73	40155	2673086
74	40645	2669039
75	41146	2665876
76	41655	2663247
77	42157	2660257
78	42629	2655443
79	43148	2653662
80	43642	2650334
81	44148	2647814
82	44658	2645583
83	45153	2642565
84	45666	2640569
85	46171	2638193
86	46677	2635929
87	47186	2633861
88	47680	2631018
89	48175	2628214
90	48664	2625235
91	49175	2623381
92	49693	2621986
93	50196	2619816
94	50690	2617254
95	51173	2614120
96	51684	2612442
97	52167	2609415
98	52666	2607267
99	53164	2605067
100	53664	2602985
101	54172	2601353
102	54669	2599186
103	55159	2596720
104	55669	2595268
105	56162	2593019
106	56647	2590429
107	57153	2588856
108	57668	2587659
109	58167	2585808
110	58660	2583699
111	59145	2581287
112	59639	2579268
113	60142	2577667
114	60629	2575420
115	61123	2573526
116	61624	2571910
117	62106	2569505
118	62633	2569039
119	63150	2568116
120	63634	2565873
121	64136	2564389
122	64634	2562775
123	65142	2561570
124	65646	2560214
125	66150	2558886
126	66663	2557870
127	67155	2556098
128	67608	2552891
129	68063	2549746
130	68530	2547120
131	68999	2544628
132	69463	2541964
133	69932	2539500
134	70408	2537301
135	70859	2534258
136	71369	2533348
137	71887	2532746
138	72388	2531497
139	72846	2528829
140	73351	2527758
141	73837	2526068
142	74345	2525144
143	74847	2524032
144	75346	2522820
145	75811	2520467
146	76264	2517775
147	76728	2515464
148	77179	2512726
149	77640	2510383
150	78081	2507410
151	78540	2505024
152	79020	2503351
153	79484	2501188
154	79964	2499525
155	80432	2497531
156	80909	2495836
157	81372	2493717
158	81848	2492005
159	82315	2490047
160	82797	2488550
161	83307	2487918
162	83836	2487833
163	84338	2486968
164	84823	2485586
165	85290	2483712
166	85746	2481523
167	86222	2479928
168	86682	2477888
169	87172	2476718
170	87693	2476451
171	88190	2475479
172	88692	2474683
173	89205	2474161
174	89663	2472148
175	90122	2470179
