feature,importance
V_norm,3717
V16,3683
V10,3585
V14,3413
V26,3395
V12,3311
Vnorm_x_V4,3286
V4,3227
Vnorm_x_V14,3128
V9,2799
V18,2739
V11,2696
V15,2653
V17,2536
Vnorm_x_V12,2525
V2,2495
Time,2475
V21,2402
V28,2361
V7,2348
V1,2333
V6,2326
Amt_x_V12,2317
V19,2272
V3,2255
V27,2247
Amt_x_V11,2191
Amt_x_V14,2190
V25,2075
V20,2063
Amt_x_V17,2055
Amt_x_V4,2026
Vnorm_x_V11,2015
Amt_x_V9,2002
V22,1996
V8,1947
V5,1932
V13,1917
Amt_x_V1,1916
Vnorm_x_V3,1865
Amt_x_V8,1804
Vnorm_x_V13,1778
V24,1698
Amt_x_V13,1572
V23,1533
Amount,1529
Amt_x_V23,1515
Amt_x_V3,1409
Amt_x_V24,1364
