feature,importance
V4,2996
Vnorm_x_V4,2915
Time,2865
V14,2826
V12,2822
V10,2575
V11,2458
V_norm,2450
V16,2320
V26,2222
V13,2208
Vnorm_x_V14,2201
V9,2046
Amt_x_V14,2044
V18,2009
V15,1992
V1,1967
Amt_x_V11,1938
Vnorm_x_V11,1927
Vnorm_x_V12,1908
V3,1897
Amt_x_V12,1868
Amt_x_V16,1842
Vnorm_x_V16,1830
Amt_x_V4,1773
Vnorm_x_V26,1770
V24,1757
V_norm_sq,1690
Amt_x_V2,1672
Vnorm_x_V17,1654
Amt_x_V18,1640
V17,1640
Vnorm_x_V13,1637
Vnorm_x_V10,1635
V25,1630
Vnorm_x_V15,1627
V19,1617
V28,1617
V6,1597
Amt_x_V28,1596
Vnorm_x_V3,1573
V27,1559
V2,1549
Amt_x_V13,1547
Amt_x_V17,1522
Amt_x_V6,1521
Amt_x_V9,1478
Amt_x_V15,1471
Vnorm_x_V2,1427
Amt_x_V1,1420
V21,1419
Vnorm_x_V28,1418
Vnorm_x_V24,1415
Vnorm_x_V9,1385
Amount,1372
Amt_x_V26,1366
V22,1355
V8,1350
Vnorm_x_V18,1313
Amt_x_V19,1303
Vnorm_x_V27,1299
V7,1286
Amt_x_V10,1264
Vnorm_x_V25,1253
Vnorm_x_V6,1241
Amt_x_V20,1236
Amt_x_V8,1235
Vnorm_x_V19,1220
V5,1210
Vnorm_x_V1,1196
Amt_x_V27,1193
Amt_x_V25,1178
Vnorm_x_V8,1169
Vnorm_x_V22,1163
Amt_x_V3,1156
Amt_x_V5,1136
Amt_x_V24,1121
Amt_x_V21,1119
Amt_x_V22,1102
Vnorm_x_V21,1075
V20,1070
V23,1037
Vnorm_x_V7,973
Vnorm_x_V23,949
Amt_x_V7,936
Amt_x_V23,910
Vnorm_x_V5,907
Vnorm_x_V20,900
V_norm_cube,698
