iter	Logloss
0	0.6253291938
1	0.5605491052
2	0.5043241191
3	0.4564245792
4	0.4107728442
5	0.3718436859
6	0.341364214
7	0.3093579855
8	0.2801935006
9	0.2548551274
10	0.2314399484
11	0.2109609694
12	0.1941208487
13	0.1775724551
14	0.1647590479
15	0.1528823792
16	0.1422488823
17	0.1324533868
18	0.1237536949
19	0.1150218973
20	0.1091001759
21	0.1018508647
22	0.09693961619
23	0.08996590872
24	0.08414988645
25	0.07851568652
26	0.07391824665
27	0.07006590268
28	0.06600102487
29	0.06220582658
30	0.0589576326
31	0.0562344612
32	0.05313949132
33	0.05082263597
34	0.04858341449
35	0.04652425138
36	0.04458483378
37	0.04253004874
38	0.04087688349
39	0.03910925096
40	0.03782450686
41	0.0365320675
42	0.03510585853
43	0.03392682173
44	0.03269323123
45	0.0314427457
46	0.03019970497
47	0.02933398946
48	0.02830166208
49	0.0271941622
50	0.02630180203
51	0.02566519262
52	0.0249316971
53	0.02422540052
54	0.02342439607
55	0.02279291801
56	0.02211840263
57	0.02154035817
58	0.02087825154
59	0.02013799517
60	0.019568515
61	0.018933946
62	0.0183501028
63	0.01791534306
64	0.01730790692
65	0.01675783273
66	0.01619512203
67	0.01569471921
68	0.01537630136
69	0.01493348902
70	0.0145382586
71	0.01429633214
72	0.0138485686
73	0.01356376615
74	0.01314962236
75	0.01277020463
76	0.01240494541
77	0.01220822775
78	0.01188349444
79	0.01162908418
80	0.01133119117
81	0.0110528853
82	0.01083510964
83	0.01056457831
84	0.01030779227
85	0.01009399515
86	0.009838923401
87	0.00957221727
88	0.009343475543
89	0.009139100343
90	0.008988460413
91	0.008783652544
92	0.008563086786
93	0.008391279152
94	0.008178111579
95	0.008047908721
96	0.007850552648
97	0.007675561602
98	0.007558533016
99	0.007405579484
100	0.007237757256
101	0.00710643635
102	0.006971186347
103	0.006820131514
104	0.00668046006
105	0.006549703537
106	0.006407787666
107	0.006293884233
108	0.006168331745
109	0.006052551671
110	0.005943280614
111	0.005838132384
112	0.00572548943
113	0.005636984935
114	0.00555122103
115	0.005451737512
116	0.005379293981
117	0.005301639967
118	0.005182796025
119	0.005091940029
120	0.004994377152
121	0.004927777714
122	0.004844787497
123	0.004794354504
124	0.004735866663
125	0.004670140531
126	0.004616210878
127	0.00455895492
128	0.004490866149
129	0.004426310136
130	0.004366289012
131	0.004318231968
132	0.004254025356
133	0.004200389937
134	0.004142950846
135	0.004107895029
136	0.004053001744
137	0.004010043056
138	0.003961675845
139	0.003932263038
140	0.003870062
141	0.003837101199
142	0.003806191251
143	0.003780472843
144	0.00374103187
145	0.003701747177
146	0.003654496555
147	0.0036229062
148	0.003579417979
149	0.003538347267
150	0.003480831905
151	0.003451460959
152	0.003420240071
153	0.003373949106
154	0.003328046347
155	0.00327602635
156	0.003239454934
157	0.00320453153
158	0.003162767847
159	0.003129497605
160	0.003105613228
161	0.003050826043
162	0.003022973233
163	0.003011423427
164	0.003003722088
165	0.002973132713
166	0.002965815582
167	0.0029287307
168	0.002898076634
169	0.002876183334
170	0.002857528193
171	0.002837112347
172	0.002809024857
173	0.002791118633
174	0.002766276385
175	0.002763794176
176	0.002736110299
177	0.002731584541
178	0.002727292427
179	0.002722357904
180	0.002697511185
181	0.002693552034
182	0.002682980858
183	0.002675428787
184	0.002652861022
185	0.002635677308
186	0.002618871889
187	0.002598792265
188	0.002581007071
189	0.002562251213
190	0.002539816972
191	0.002529568663
192	0.002510369383
193	0.002504482732
194	0.002485514609
195	0.002482212238
196	0.002464154717
197	0.00245245282
198	0.002449371446
199	0.002439258567
200	0.002419305161
201	0.00240226038
202	0.002376564085
203	0.00237657481
204	0.00237657481
205	0.002345734988
206	0.002340893629
207	0.00232953768
208	0.002314104502
209	0.002314104502
210	0.002295932116
211	0.002295932116
212	0.002270905224
213	0.002249129442
214	0.002240635335
215	0.002240635335
216	0.002224851097
217	0.002224852001
218	0.002224852001
219	0.002211052837
220	0.002211052837
221	0.002211052837
222	0.002208299722
223	0.002205748682
224	0.002205743531
225	0.002205745328
226	0.002201171788
227	0.002191423626
228	0.002178611645
229	0.002178620189
230	0.002178629272
231	0.002178589819
232	0.002166423864
233	0.002166423864
234	0.002152203563
235	0.002152199527
