iter	Passed	Remaining
0	537	2679060
1	1066	2657366
2	1599	2657259
3	2116	2637212
4	2631	2622024
5	3139	2606031
6	3655	2600454
7	4206	2617743
8	4744	2623992
9	5269	2622538
10	5776	2613153
11	6325	2622401
12	6862	2625682
13	7391	2625473
14	7926	2627299
15	8482	2635293
16	9037	2642113
17	9572	2642459
18	10095	2639623
19	10590	2630095
20	11129	2631876
21	11643	2627686
22	12178	2628355
23	12647	2615389
24	13177	2615542
25	13708	2615718
26	14188	2606537
27	14667	2597707
28	15148	2589951
29	15677	2590390
30	16153	2582511
31	16637	2576215
32	17108	2568360
33	17590	2562557
34	18066	2556201
35	18577	2554926
36	19069	2551179
37	19563	2547885
38	20073	2546795
39	20550	2541587
40	21046	2538955
41	21539	2535964
42	22036	2533634
43	22509	2528724
44	23002	2526234
45	23466	2520610
46	23935	2515817
47	24417	2512488
48	24887	2508029
49	25373	2505370
50	25846	2501550
51	26319	2497780
52	26800	2495019
53	27290	2493066
54	27766	2489941
55	28225	2485355
56	28686	2481132
57	29162	2478339
58	29656	2477039
59	30132	2474400
60	30620	2472702
61	31076	2468539
62	31542	2465292
63	32071	2466973
64	32538	2463930
65	33005	2460925
66	33488	2459171
67	33963	2456889
68	34391	2451296
69	34844	2447543
70	35308	2444716
71	35743	2439991
72	36226	2438571
73	36686	2435705
74	37153	2433299
75	37622	2431088
76	38103	2429712
77	38580	2428107
78	39067	2427138
79	39538	2425182
80	40013	2423539
81	40491	2422065
82	40980	2421294
83	41449	2419384
84	41883	2415454
85	42326	2412117
86	42762	2408485
87	43205	2405295
88	43638	2401611
89	44080	2398445
90	44506	2394550
91	44943	2391310
92	45381	2388163
93	45819	2385052
94	46255	2381926
95	46697	2379155
96	47186	2378802
97	47650	2377186
98	48122	2375968
99	48545	2372402
100	48994	2370172
101	49469	2369191
102	49907	2366503
103	50382	2365560
104	50809	2362420
105	51239	2359428
106	51725	2359092
107	52208	2358560
108	52669	2357060
109	53095	2354077
110	53569	2353192
111	54038	2352113
112	54471	2349509
113	54898	2346654
114	55337	2344364
115	55785	2342498
116	56208	2339605
117	56659	2337923
118	57097	2335733
119	57534	2333504
120	57963	2330998
121	58391	2328487
122	58885	2328620
123	59356	2327837
124	59791	2325642
125	60216	2323116
126	60633	2320316
127	61068	2318217
128	61502	2316120
129	61943	2314303
130	62377	2312247
131	62807	2310095
132	63243	2308135
133	63680	2306281
134	64121	2304567
135	64536	2301948
136	64963	2299805
137	65386	2297527
138	65820	2295676
139	66244	2293489
140	66681	2291762
141	67114	2289942
142	67552	2288291
143	67988	2286584
144	68406	2284308
145	68825	2282070
146	69241	2279791
147	69677	2278159
148	70101	2276180
149	70538	2274627
150	70966	2272818
151	71403	2271286
152	71828	2269413
153	72259	2267727
154	72676	2265639
155	73099	2263749
156	73525	2261966
157	73957	2260374
158	74376	2258418
159	74810	2256941
160	75246	2255539
161	75677	2253986
162	76113	2252588
163	76523	2250434
164	76969	2249369
165	77404	2247983
166	77833	2246438
167	78264	2244984
168	78694	2243501
169	79114	2241735
170	79551	2240464
171	79986	2239153
172	80424	2237942
173	80857	2236595
174	81286	2235152
175	81725	2233978
176	82160	2232717
177	82586	2231240
178	83016	2229862
179	83445	2228459
180	83866	2226856
