feature,importance
V14,1290
V4,1289
V17,1075
V16,996
V_norm,969
V11,831
Amount_x_V14,796
V26,779
V12,768
V18,674
V10,668
Time,665
V9,611
V8,595
Amount_x_V12,590
Amount_x_V17,577
V1,557
V3,555
V27,525
V22,506
V21,497
V19,495
V7,489
V25,477
V24,472
V2,463
Amount_x_V10,444
V5,413
Amount,411
V28,402
V6,395
V15,387
V13,368
V20,365
Hour,365
V23,284
Time_sin,268
Time_cos,189
Log_Amount,151
Amount_bin,26
